Model,AUC,PR-AUC,Brier
HIR-M3,0.6791412541243849,0.27124264346552274,0.12466808408498764
LightGBM,0.7414630925695488,0.339128789135634,0.19313731612985194
Ensemble (HIR-M3+LGBM),0.7383193995261507,0.32714530215555765,0.13291675904493003
