Cohort,Feature Index,Feature Name,Tier,Normalized Importance
Overall,78,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_S72_001D,Micro,0.26423785
Overall,79,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_T81_4XXD,Micro,0.702231
Overall,80,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_Z47_1,Micro,0.29259676
Overall,81,Primary_Diagnosis_ICD_10_C_M_Code_ICD_Group_Z48_812,Micro,0.3857355
Overall,82,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_I10,Micro,0.49247602
Overall,83,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_I69_351,Micro,0.2746326
Overall,84,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_L03_116,Micro,0.5266312
Overall,85,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_S22_42XD,Micro,0.27546984
Overall,86,Other_Diagnosis_Code_1_ICD_10_C_M_ICD_Group_Z96_651,Micro,0.54419696
Overall,87,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_B96_20,Micro,0.6064739
Overall,88,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_E11_22,Micro,0.36067525
Overall,89,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_F03_90,Micro,0.6510617
Overall,90,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I10,Micro,0.45580393
Overall,91,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I25_10,Micro,0.9421136
Overall,92,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I48_91,Micro,0.38820046
Overall,93,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I50_32,Micro,0.27726325
Overall,94,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I50_9,Micro,0.27393728
Overall,95,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_I69_354,Micro,0.556468
Overall,96,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M19_90,Micro,0.38162518
Overall,97,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M25_561,Micro,0.49940646
Overall,98,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M48_06,Micro,0.26970536
Overall,99,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_M62_81,Micro,0.2506246
Overall,100,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_R26_89,Micro,0.5241424
Overall,101,Other_Diagnosis_Code_2_ICD_10_C_M_ICD_Group_Z79_82,Micro,0.49713096
Overall,102,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_E11_22,Micro,0.2604624
Overall,103,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I10,Micro,0.24009588
Overall,104,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I25_10,Micro,0.46150762
Overall,105,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I48_91,Micro,0.793705
Overall,106,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I50_32,Micro,0.50475234
Overall,107,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I50_9,Micro,0.17555664
Overall,108,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_I69_354,Micro,0.32848275
Overall,109,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_M62_81,Micro,0.4319669
Overall,110,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_R26_89,Micro,0.501095
Overall,111,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_Z79_01,Micro,0.6366051
Overall,112,Other_Diagnosis_Code_3_ICD_10_C_M_ICD_Group_Z91_81,Micro,0.57482517
Overall,113,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_E11_22,Micro,0.33699244
Overall,114,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_F03_90,Micro,0.37064964
Overall,115,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_G47_33,Micro,0.33188275
Overall,116,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I10,Micro,0.4137516
Overall,117,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I25_10,Micro,0.3998026
Overall,118,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_I50_32,Micro,0.42647648
Overall,119,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_K59_00,Micro,0.5806998
Overall,120,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_M62_81,Micro,0.85057086
Overall,121,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_R26_89,Micro,0.36470094
Overall,122,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z48_01,Micro,1.0
Overall,123,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z79_01,Micro,0.37549496
Overall,124,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z87_891,Micro,0.4110064
Overall,125,Other_Diagnosis_Code_4_ICD_10_C_M_ICD_Group_Z91_81,Micro,0.50163084
Overall,126,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_E11_22,Micro,0.7242913
Overall,127,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_E66_01,Micro,0.4727546
Overall,128,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_F03_90,Micro,0.5060602
Overall,129,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_G47_33,Micro,0.35529146
Overall,130,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_I10,Micro,0.20383623
Overall,131,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_I25_10,Micro,0.21808665
Overall,132,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_M54_5,Micro,0.3411759
Overall,133,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_M62_81,Micro,0.6371903
Overall,134,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_Z48_00,Micro,0.29840794
Overall,135,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_Z79_01,Micro,0.5358882
Overall,136,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_Z91_81,Micro,0.4892946
Overall,137,Other_Diagnosis_Code_5_ICD_10_C_M_ICD_Group_Z99_81,Micro,0.5569333
Overall,138,Submitted_HIPPS_Code_1AFKS,Macro,0.7407185
Overall,139,Submitted_HIPPS_Code_1AGKS,Macro,0.2774166
Overall,140,Submitted_HIPPS_Code_1AHKS,Macro,0.3313804
Overall,141,Submitted_HIPPS_Code_1BGKS,Macro,0.5627198
Overall,142,Submitted_HIPPS_Code_1BGMS,Macro,0.89631844
Overall,143,Submitted_HIPPS_Code_1BGPS,Macro,0.4263725
Overall,144,Submitted_HIPPS_Code_1BHKS,Macro,0.32644433
Overall,145,Submitted_HIPPS_Code_1BHMS,Macro,0.4366236
Overall,146,Submitted_HIPPS_Code_1BHNS,Macro,0.742118
Overall,147,Submitted_HIPPS_Code_1BHPS,Macro,0.88923115
Overall,148,Submitted_HIPPS_Code_1CGKS,Macro,0.4641603
Overall,149,Submitted_HIPPS_Code_1CGKT,Macro,0.41946673
Overall,150,Submitted_HIPPS_Code_1CGMS,Macro,0.299432
Overall,151,Submitted_HIPPS_Code_1CGPS,Macro,0.5152537
Overall,152,Submitted_HIPPS_Code_1CHKS,Macro,0.5535562
Overall,153,Submitted_HIPPS_Code_1CHKT,Macro,0.73332804
Overall,154,Submitted_HIPPS_Code_1CHKU,Macro,0.3783935
Overall,155,Submitted_HIPPS_Code_1CHMS,Macro,0.38312954
Overall,156,Submitted_HIPPS_Code_1CHNS,Macro,0.38060114
Overall,157,Submitted_HIPPS_Code_1CHPS,Macro,0.17303264
Overall,158,Submitted_HIPPS_Code_1CHPT,Macro,0.18990399
Overall,159,Submitted_HIPPS_Code_2AFKS,Macro,0.32402694
Overall,160,Submitted_HIPPS_Code_2AFLS,Macro,0.4034335
Overall,161,Submitted_HIPPS_Code_2BFKS,Macro,0.43597323
Overall,162,Submitted_HIPPS_Code_2BFLS,Macro,0.5893805
Overall,163,Submitted_HIPPS_Code_2BFMS,Macro,0.51823777
Overall,164,Submitted_HIPPS_Code_2BGLS,Macro,0.39019656
Overall,165,Submitted_HIPPS_Code_5AGKS,Macro,0.17839527
Overall,166,Submitted_HIPPS_Code_5AHKS,Macro,0.17793523
Overall,167,Submitted_HIPPS_Code_5BHKS,Macro,0.46462208
Overall,168,Gender_Female,Micro,0.73136806
Overall,169,Gender_Male,Micro,0.23492979
Overall,170,ByDiscipline_PT,Micro,0.5703077
Overall,171,ByDiscipline_RN,Micro,0.6782388
Overall,172,Agency_Medicare_Number_453157,Macro,0.8348187
Overall,173,Agency_Medicare_Number_457741,Macro,0.30797344
Overall,174,Agency_Medicare_Number_678191,Macro,0.1368814
Overall,175,Agency_Medicare_Number_679044,Macro,0.48791978
Overall,176,BMI_Category_Normal_weight,Micro,0.47064126
Overall,177,BMI_Category_Obese_Class1,Micro,0.3273256
Overall,178,BMI_Category_Obese_Class2,Micro,0.23675404
Overall,179,BMI_Category_Obese_Class3,Micro,0.64779216
Overall,180,BMI_Category_Overweight,Micro,0.20001498
Overall,181,BMI_Category_Underweight,Micro,0.5652667
Overall,182,COUNTY_NAME_Bell,Meso,0.29747203
Overall,183,COUNTY_NAME_Bexar,Meso,0.39532918
Overall,184,COUNTY_NAME_Brazoria,Meso,0.64794725
Overall,185,COUNTY_NAME_Cameron,Meso,0.75657636
Overall,186,COUNTY_NAME_Collin,Meso,0.43536866
Overall,187,COUNTY_NAME_Dallas,Meso,0.4772509
Overall,188,COUNTY_NAME_Denton,Meso,0.75851345
Overall,189,COUNTY_NAME_El_Paso,Meso,0.41973993
Overall,190,COUNTY_NAME_Fort_Bend,Meso,0.64936966
Overall,191,COUNTY_NAME_Galveston,Meso,0.4231135
